algo,runs,hv_mean,hv_std,igdplus_mean,igdplus_std,gdplus_mean,gdplus_std
nsga2,10,1.323493509677983,0.005272973295459247,0.0008432081639263846,0.0006393677892618821,0.005610902723048898,0.010489108193673286
moead,10,1.30450494719789,0.003081344426516139,0.0036671666551940938,0.000896891212481175,3.7872477524223615e-08,2.1320396924352747e-08
morl,10,1.2751681521437563,0.005203441173871765,0.019657476472817192,0.0038515826588027364,0.00036697712045537565,0.00026538901524417635
morl_bf,10,1.3250132813141393,0.002496894238747611,0.0009473467506185497,0.00026792160029550033,0.09691696065568231,0.049320926332619745
