algo,runs,hv_mean,hv_std,igdplus_mean,igdplus_std,gdplus_mean,gdplus_std
nsga2,10,1.3130986322506946,0.007767956005931389,0.002463236011934323,0.002226509055622971,0.006896844185555477,0.01951113632192531
moead,10,1.3066226010557982,0.009482675294292956,0.004262034073493249,0.00510942037725512,0.00013702523397737655,0.0002853887482672759
morl,10,1.0478905149704922,0.04818530713102288,0.15880020436738645,0.02973313485012988,0.0033199993313151087,0.0027890632552610736
morl_bf,10,1.314901950146277,0.017538115912603163,0.005838733903766097,0.00797832256150606,0.14423296384185305,0.0830634732528423
